Mass Wall,Metal Wall,Roof,SlabEdge,Glass,Infil,LPD,EPD (0 1st$),EUI,Util $,Addl 1st $,40yr LCS,LEED
E11,E31,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,78.47,49299,-9976,72429.6765,5
E12,E31,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,78.33,49187,-7761,75134.9315,5
E10,E32,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,78.86,49579,-8278,67260.6905,5
E11,E32,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,78.32,49138,-8063,73663.0805,5
E12,E32,R-25,"2"" Vert+Horiz",SB70,0.2,0.5,1,78.17,49017,-5848,76544.1955,6
E10,E30,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,77.46,48201,-6365,75029.986,6
E11,E30,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,76.94,47823,11094,80201.356,7
E12,E30,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,76.80,47697,13308,83180.171,7
E10,E31,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,77.69,48437,12792,84164.8985,6
E11,E31,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,77.19,48032,-2653,89863.8485,6
E12,E31,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,77.04,47948,-438,92021.9835,6
E10,E32,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,77.53,48275,-955,85417.8425,6
E11,E32,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,77.03,47907,-740,90393.8125,6
E12,E32,R-30,"2"" Vert+Horiz",SB70,0.2,0.5,1,76.88,47780,1475,93392.1675,7
E10,E30,R-25,"2"" Vert",SB60,0.2,0.5,1,79.75,50058,958,57160.884,5
E11,E30,R-25,"2"" Vert",SB60,0.2,0.5,1,79.27,49708,-7323,61785.134,5
E12,E30,R-25,"2"" Vert",SB60,0.2,0.5,1,79.13,49595,-5108,64509.929,5
E10,E31,R-25,"2"" Vert",SB60,0.2,0.5,1,79.95,50252,-5625,67116.4765,4
E11,E31,R-25,"2"" Vert",SB60,0.2,0.5,1,79.49,49909,-21069,71603.9465,5
E12,E31,R-25,"2"" Vert",SB60,0.2,0.5,1,79.36,49816,-18855,73937.9415,5
E10,E32,R-25,"2"" Vert",SB60,0.2,0.5,1,79.82,50116,-19371,67861.3805,5
E11,E32,R-25,"2"" Vert",SB60,0.2,0.5,1,79.34,49770,-19157,72407.4705,5
E12,E32,R-25,"2"" Vert",SB60,0.2,0.5,1,79.21,49674,-16942,74800.0855,5
E10,E30,R-30,"2"" Vert",SB60,0.2,0.5,1,78.53,48862,-17459,73207.716,6
E11,E30,R-30,"2"" Vert",SB60,0.2,0.5,1,77.99,48421,0,79610.106,6
E12,E30,R-30,"2"" Vert",SB60,0.2,0.5,1,77.84,48312,2215,82256.741,6
E10,E31,R-30,"2"" Vert",SB60,0.2,0.5,1,78.76,49089,1698,82518.4885,5
E11,E31,R-30,"2"" Vert",SB60,0.2,0.5,1,78.22,48660,-13746,88686.3985,6
E12,E31,R-30,"2"" Vert",SB60,0.2,0.5,1,78.07,48544,-11532,91469.8135,6
E10,E32,R-30,"2"" Vert",SB60,0.2,0.5,1,78.61,48938,-12048,83556.4925,6
E11,E32,R-30,"2"" Vert",SB60,0.2,0.5,1,78.06,48493,-11834,90037.0425,6
E12,E32,R-30,"2"" Vert",SB60,0.2,0.5,1,77.91,48380,-9619,92761.8375,6
E10,E30,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,78.76,49330,-10136,69294.929,5
E11,E30,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,78.21,48886,-5232,75755.939,6
E12,E30,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,78.05,48766,-3017,78617.514,6
E10,E31,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,79.00,49573,-3534,78293.0615,5
E11,E31,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,78.44,49130,-18978,84734.5315,5
E12,E31,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,78.30,49014,-16764,87517.9465,6
E10,E32,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,78.85,49410,-17280,79565.5455,5
E11,E32,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,78.29,48966,-17066,86026.5555,6
E12,E32,R-25,"2"" Vert+Horiz",SB60,0.2,0.5,1,78.14,48842,-14851,88966.2905,6
E10,E30,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,77.48,48043,-15368,87119.901,6
E11,E30,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,77.01,47687,2091,91861.391,7
E12,E30,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,76.81,47538,4306,95289.626,7
E10,E31,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,77.70,48282,3789,96196.1935,6
E11,E31,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,77.18,47862,-11655,102188.2435,7
E12,E31,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,77.05,47785,-9441,104209.5985,7
E10,E32,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,77.55,48116,-9957,97527.2975,6
E11,E32,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,77.08,47767,-9743,102132.0075,7
E12,E32,R-30,"2"" Vert+Horiz",SB60,0.2,0.5,1,76.89,47618,-7528,105560.2425,7
E10,E30,R-25,"2"" Vert",SB70,0.25,0.5,1,80.79,50989,-8045,29966.549,4
E11,E30,R-25,"2"" Vert",SB70,0.25,0.5,1,80.33,50663,1680,34121.839,4
E12,E30,R-25,"2"" Vert",SB70,0.25,0.5,1,80.21,50580,3894,36260.434,4
E10,E31,R-25,"2"" Vert",SB70,0.25,0.5,1,81.01,51196,3378,39668.1215,4
E11,E31,R-25,"2"" Vert",SB70,0.25,0.5,1,80.55,50865,-12067,43921.1115,4
E12,E31,R-25,"2"" Vert",SB70,0.25,0.5,1,80.43,50781,-9852,46079.2465,4
E10,E32,R-25,"2"" Vert",SB70,0.25,0.5,1,80.87,51053,-10369,40549.8055,4
E11,E32,R-25,"2"" Vert",SB70,0.25,0.5,1,80.40,50724,-10154,44763.7155,4
E12,E32,R-25,"2"" Vert",SB70,0.25,0.5,1,80.28,50642,-7939,46882.7705,4
E10,E30,R-30,"2"" Vert",SB70,0.25,0.5,1,79.82,50137,-8456,39291.621,5
E11,E30,R-30,"2"" Vert",SB70,0.25,0.5,1,79.29,49717,9003,45283.671,5
E12,E30,R-30,"2"" Vert",SB70,0.25,0.5,1,79.15,49610,11217,47891.226,5
E10,E31,R-30,"2"" Vert",SB70,0.25,0.5,1,80.03,50338,10701,49110.4335,4
E11,E31,R-30,"2"" Vert",SB70,0.25,0.5,1,79.53,49959,-4744,54301.3435,5
E12,E31,R-30,"2"" Vert",SB70,0.25,0.5,1,79.39,49845,-2529,57045.6785,5
E10,E32,R-30,"2"" Vert",SB70,0.25,0.5,1,79.89,50198,-3046,49933.4975,5
E11,E32,R-30,"2"" Vert",SB70,0.25,0.5,1,79.37,49790,-2831,55691.0675,5
E12,E32,R-30,"2"" Vert",SB70,0.25,0.5,1,79.23,49688,-616,58200.9225,5
E10,E30,R-25,"2"" Vert+Horiz",SB70,0.25,0.5,1,79.72,50309,-1133,41162.674,4
E11,E30,R-25,"2"" Vert+Horiz",SB70,0.25,0.5,1,79.26,49963,3771,45708.764,5
E12,E30,R-25,"2"" Vert+Horiz",SB70,0.25,0.5,1,79.14,49874,5985,47964.599,5
E10,E31,R-25,"2"" Vert+Horiz",SB70,0.25,0.5,1,79.92,50495,5469,51274.5865,4
E11,E31,R-25,"2"" Vert+Horiz",SB70,0.25,0.5,1,79.47,50162,-9976,55566.6565,5
E12,E31,R-25,"2"" Vert+Horiz",SB70,0.25,0.5,1,79.35,50073,-7761,57822.4915,5
E10,E32,R-25,"2"" Vert+Horiz",SB70,0.25,0.5,1,79.79,50359,-8278,52019.4905,4
E11,E32,R-25,"2"" Vert+Horiz",SB70,0.25,0.5,1,79.33,50025,-8063,56331.1005,5
E12,E32,R-25,"2"" Vert+Horiz",SB70,0.25,0.5,1,79.21,49938,-5848,58547.8555,5
E10,E30,R-30,"2"" Vert+Horiz",SB70,0.25,0.5,1,78.67,49323,-6365,53106.106,5
E11,E30,R-30,"2"" Vert+Horiz",SB70,0.25,0.5,1,78.12,48880,11094,59547.576,6
E12,E30,R-30,"2"" Vert+Horiz",SB70,0.25,0.5,1,77.97,48758,13308,62448.231,6
E10,E31,R-30,"2"" Vert+Horiz",SB70,0.25,0.5,1,78.91,49566,12792,62104.2385,5
E11,E31,R-30,"2"" Vert+Horiz",SB70,0.25,0.5,1,78.37,49123,-2653,68545.7085,5
E12,E31,R-30,"2"" Vert+Horiz",SB70,0.25,0.5,1,78.22,49006,-438,71348.6635,6
E10,E32,R-30,"2"" Vert+Horiz",SB70,0.25,0.5,1,78.75,49403,-955,63376.7225,5
E11,E32,R-30,"2"" Vert+Horiz",SB70,0.25,0.5,1,78.21,48960,-740,69818.1925,6
E12,E32,R-30,"2"" Vert+Horiz",SB70,0.25,0.5,1,78.06,48839,1475,72699.3075,6
E10,E30,R-25,"2"" Vert",SB60,0.25,0.5,1,80.64,50795,958,42759.904,4
E11,E30,R-25,"2"" Vert",SB60,0.25,0.5,1,80.17,50464,-7323,47012.894,4
E12,E30,R-25,"2"" Vert",SB60,0.25,0.5,1,80.05,50374,-5108,49288.269,4
